Field,Field_Variability_Rank,X_miles,Y_miles,Structural_Depth_ft,Isopach_ft,GammaRay_API,Resistivity_ohmm,Porosity_frac,Oil_Production_BOPD
Field_01,1,7.37,0.1,10249.2,89.8,54.5,25.8,0.1445,316.8
Field_01,1,7.47,0.1,10662.1,91.7,49.4,24.18,0.1493,274.5
Field_01,1,7.58,0.1,10876.2,97.4,43.5,23.15,0.1601,290.8
Field_01,1,7.68,0.1,10857.4,106.4,37.2,22.43,0.17,359.3
Field_01,1,7.78,0.1,10613.6,117.0,31.0,21.79,0.173,469.1
Field_01,1,7.88,0.1,10183.9,126.7,25.4,21.27,0.167,595.0
Field_01,1,7.98,0.1,9632.6,132.9,21.6,21.05,0.1541,707.5
Field_01,1,8.08,0.1,9042.9,134.2,20.9,21.2,0.1395,787.7
Field_01,1,8.18,0.1,8502.3,130.0,23.6,21.47,0.1281,828.6
Field_01,1,8.28,0.1,8081.6,120.7,28.8,21.45,0.1224,824.6
Field_01,1,8.38,0.1,7819.2,107.5,34.8,20.89,0.1218,769.5
Field_01,1,8.48,0.1,7718.6,92.4,39.3,19.97,0.1239,672.0
Field_01,1,8.59,0.1,7757.9,77.4,41.2,19.26,0.1262,561.0
Field_01,1,8.69,0.1,7905.1,64.5,40.7,19.27,0.1279,466.5
Field_01,1,8.79,0.1,8128.6,54.7,38.8,20.27,0.1299,401.8
Field_01,1,8.89,0.1,8398.8,48.2,37.0,22.15,0.1338,363.4
Field_01,1,8.99,0.1,8681.0,44.6,36.5,24.3,0.1408,339.8
Field_01,1,9.09,0.1,8930.3,43.8,37.8,25.75,0.1512,321.5
Field_01,1,9.19,0.1,9098.5,46.8,41.3,25.64,0.1635,307.6
Field_01,1,9.29,0.1,9155.4,54.3,46.7,23.88,0.1762,301.3
Field_01,1,9.39,0.1,9108.8,66.6,53.5,21.12,0.1879,304.7
Field_01,1,9.49,0.1,9007.2,82.3,60.1,18.18,0.1981,317.2
Field_01,1,9.6,0.1,8921.3,99.0,65.0,15.56,0.2071,333.5
Field_01,1,9.7,0.1,8912.4,113.7,66.7,13.35,0.2153,342.8
Field_01,1,9.8,0.1,9008.1,123.6,64.7,11.51,0.2226,333.8
Field_01,1,9.9,0.1,9197.7,126.6,59.9,9.99,0.2291,304.7
Field_01,1,10.0,0.1,9445.5,122.4,53.9,8.87,0.2343,266.3
Field_01,1,0.0,0.2,9438.8,116.9,49.8,9.24,0.2495,305.9
Field_01,1,0.1,0.2,9664.3,105.5,44.8,9.57,0.2541,286.1
Field_01,1,0.2,0.2,9884.3,93.1,40.3,10.66,0.2552,285.9
Field_01,1,0.3,0.2,10101.5,82.1,35.6,12.46,0.253,304.1
Field_01,1,0.4,0.2,10329.6,74.2,30.6,14.57,0.249,332.0
Field_01,1,0.51,0.2,10574.5,69.8,25.6,16.16,0.2451,354.8
Field_01,1,0.61,0.2,10818.7,68.7,21.2,16.42,0.2421,357.5
Field_01,1,0.71,0.2,11023.8,70.2,18.0,15.29,0.2396,335.0
Field_01,1,0.81,0.2,11151.5,72.8,15.9,13.51,0.2363,296.2
Field_01,1,0.91,0.2,11186.5,74.8,15.1,11.94,0.2314,256.6
Field_01,1,1.01,0.2,11142.7,75.0,15.5,11.06,0.2252,227.9
Field_01,1,1.11,0.2,11048.4,73.4,17.3,11.03,0.2189,215.2
Field_01,1,1.21,0.2,10925.3,71.2,20.5,11.84,0.2143,220.4
Field_01,1,1.31,0.2,10781.4,70.7,24.8,13.46,0.2131,246.2
Field_01,1,1.41,0.2,10621.5,73.8,29.3,15.84,0.2163,296.4
Field_01,1,1.52,0.2,10463.1,81.1,33.1,18.86,0.2242,370.9
Field_01,1,1.62,0.2,10335.8,91.7,36.0,22.25,0.2351,454.8
Field_01,1,1.72,0.2,10262.0,103.6,38.1,25.52,0.2456,518.0
Field_01,1,1.82,0.2,10230.9,113.9,40.2,27.94,0.2524,535.7
Field_01,1,1.92,0.2,10193.4,120.3,43.1,28.82,0.2538,509.0
Field_01,1,2.02,0.2,10084.0,121.4,47.2,27.91,0.2511,454.5
Field_01,1,2.12,0.2,9857.3,117.1,52.9,25.63,0.2478,387.2
Field_01,1,2.22,0.2,9511.3,108.7,60.2,22.76,0.2477,318.4
Field_01,1,2.32,0.2,9085.1,97.6,68.3,19.96,0.2524,256.4
Field_01,1,2.42,0.2,8634.0,85.4,75.8,17.53,0.26,203.9
Field_01,1,2.53,0.2,8203.6,73.5,80.9,15.49,0.2664,160.6
Field_01,1,2.63,0.2,7816.5,63.5,81.5,13.79,0.2667,127.1
Field_01,1,2.73,0.2,7479.8,56.3,76.6,12.52,0.2584,105.2
Field_01,1,2.83,0.2,7205.3,51.9,66.8,11.86,0.2418,95.3
Field_01,1,2.93,0.2,7026.5,49.0,54.2,12.05,0.2196,94.3
Field_01,1,3.03,0.2,6989.9,45.4,41.9,13.21,0.1952,95.9
Field_01,1,3.13,0.2,7119.8,39.7,33.0,15.29,0.1717,91.6
Field_01,1,3.23,0.2,7379.4,31.8,29.5,17.97,0.1513,77.1
Field_01,1,3.33,0.2,7665.0,23.6,31.8,20.71,0.1356,58.4
Field_01,1,3.43,0.2,7849.7,17.6,38.5,23.1,0.1256,45.8
Field_01,1,3.54,0.2,7853.6,15.7,46.8,25.04,0.1215,47.1
Field_01,1,3.64,0.2,7691.0,18.2,53.5,26.38,0.1223,68.2
Field_01,1,3.74,0.2,7458.3,23.5,56.1,26.57,0.1262,111.5
Field_01,1,3.84,0.2,7267.8,29.5,53.8,25.02,0.1308,163.1
Field_01,1,3.94,0.2,7173.2,34.8,47.5,21.95,0.1344,196.3
Field_01,1,4.04,0.2,7139.2,39.2,39.3,18.56,0.1357,203.8
Field_01,1,4.14,0.2,7073.3,43.6,31.4,16.06,0.1347,205.5
Field_01,1,4.24,0.2,6898.9,49.2,25.2,15.0,0.1315,224.4
Field_01,1,4.34,0.2,6618.8,56.3,21.0,15.36,0.1274,274.5
Field_01,1,4.44,0.2,6330.4,63.8,18.4,16.76,0.1236,356.2
Field_01,1,4.55,0.2,6183.3,69.5,17.1,18.48,0.1217,443.7
Field_01,1,4.65,0.2,6306.5,70.9,17.2,19.64,0.1228,485.1
Field_01,1,4.75,0.2,6745.6,66.7,18.9,19.73,0.1277,446.2
Field_01,1,4.85,0.2,7440.9,57.0,22.3,18.93,0.1357,347.4
Field_01,1,4.95,0.2,8251.5,43.8,27.3,17.83,0.145,234.9
Field_01,1,5.05,0.2,9009.3,29.7,33.4,16.95,0.1526,140.9
Field_01,1,5.15,0.2,9576.5,17.9,40.0,16.56,0.1564,76.7
Field_01,1,5.25,0.2,9884.1,10.7,46.4,16.75,0.1558,42.4
Field_01,1,5.35,0.2,9940.9,9.2,52.2,17.56,0.1525,33.9
Field_01,1,5.45,0.2,9815.8,12.8,56.9,19.04,0.1492,43.5
Field_01,1,5.56,0.2,9603.5,20.0,60.2,21.18,0.1475,60.4
Field_01,1,5.66,0.2,9389.3,29.1,61.8,23.85,0.1472,72.6
Field_01,1,5.76,0.2,9226.0,38.5,61.7,26.84,0.1474,74.3
Field_01,1,5.86,0.2,9127.6,47.1,59.8,29.9,0.1483,73.8
Field_01,1,5.96,0.2,9082.5,54.2,56.6,32.79,0.1519,86.4
Field_01,1,6.06,0.2,9075.0,59.8,52.4,35.17,0.1612,120.4
Field_01,1,6.16,0.2,9101.7,64.1,47.3,36.46,0.1782,169.3
Field_01,1,6.26,0.2,9166.0,68.5,41.8,36.04,0.2022,215.1
Field_01,1,6.36,0.2,9257.1,74.0,36.4,33.73,0.229,242.5
Field_01,1,6.46,0.2,9333.5,81.2,32.2,30.27,0.2529,257.6
Field_01,1,6.57,0.2,9335.7,89.8,30.5,26.93,0.2685,288.1
Field_01,1,6.67,0.2,9226.3,98.2,31.9,24.74,0.2726,362.8
Field_01,1,6.77,0.2,9030.8,104.8,36.5,24.15,0.2645,489.8
Field_01,1,6.87,0.2,8843.2,108.4,43.1,24.99,0.246,637.9
Field_01,1,6.97,0.2,8784.3,108.4,49.9,26.54,0.2205,728.1
Field_01,1,7.07,0.2,8937.6,105.3,55.1,27.79,0.193,689.2
Field_01,1,7.17,0.2,9303.0,100.5,57.5,27.9,0.169,545.1
Field_01,1,7.27,0.2,9798.9,95.8,56.7,26.87,0.1531,389.7
Field_01,1,7.37,0.2,10305.7,93.1,53.5,25.32,0.1483,285.6
Field_01,1,7.47,0.2,10717.8,94.0,48.5,23.84,0.1536,242.8
Field_01,1,7.58,0.2,10969.1,99.2,42.8,22.71,0.1645,255.4
Field_01,1,7.68,0.2,11027.3,108.0,36.5,21.92,0.1744,320.3
Field_01,1,7.78,0.2,10878.4,118.2,30.0,21.46,0.1779,430.3
Field_01,1,7.88,0.2,10526.7,127.0,24.2,21.45,0.1732,566.9
Field_01,1,7.98,0.2,10010.4,131.7,20.1,22.09,0.1626,708.0
Field_01,1,8.08,0.2,9411.1,131.0,19.0,23.38,0.1509,836.9
Field_01,1,8.18,0.2,8838.3,124.8,21.5,24.96,0.1424,936.1
Field_01,1,8.28,0.2,8392.3,114.2,26.8,26.05,0.139,975.2
Field_01,1,8.38,0.2,8130.5,100.9,32.8,25.95,0.1395,924.3
Field_01,1,8.48,0.2,8056.1,86.6,37.6,24.59,0.1415,791.1
Field_01,1,8.59,0.2,8131.1,73.0,39.8,22.64,0.143,626.7
Field_01,1,8.69,0.2,8301.1,61.5,39.4,20.94,0.144,483.1
Field_01,1,8.79,0.2,8516.9,52.4,37.5,20.05,0.1458,381.1
Field_01,1,8.89,0.2,8745.1,45.9,35.3,20.1,0.1502,316.9
Field_01,1,8.99,0.2,8964.5,41.8,34.1,20.89,0.1579,278.6
Field_01,1,9.09,0.2,9154.9,40.7,34.7,21.9,0.1683,257.6
Field_01,1,9.19,0.2,9289.6,43.3,37.6,22.45,0.1795,251.4
Field_01,1,9.29,0.2,9341.5,50.7,42.9,22.03,0.1898,259.2
Field_01,1,9.39,0.2,9300.7,62.8,49.8,20.56,0.1982,280.3
Field_01,1,9.49,0.2,9188.6,78.3,57.1,18.39,0.205,312.9
Field_01,1,9.6,0.2,9056.6,95.1,62.9,16.0,0.2113,350.9
Field_01,1,9.7,0.2,8966.0,110.5,65.7,13.77,0.2181,381.0
Field_01,1,9.8,0.2,8961.3,121.6,64.8,11.9,0.2257,389.7
Field_01,1,9.9,0.2,9053.9,126.6,60.8,10.49,0.2341,372.6
Field_01,1,10.0,0.2,9224.6,124.7,55.4,9.57,0.2424,339.3
Field_01,1,0.0,0.3,9248.8,119.0,49.9,10.86,0.2544,378.1
Field_01,1,0.1,0.3,9422.8,109.3,45.3,11.43,0.2613,350.7
Field_01,1,0.2,0.3,9588.1,97.6,41.1,12.63,0.2637,336.5
Field_01,1,0.3,0.3,9742.8,86.1,36.8,14.31,0.2615,336.5
Field_01,1,0.4,0.3,9906.4,76.6,32.2,16.05,0.2563,342.5
Field_01,1,0.51,0.3,10102.3,70.0,27.5,17.14,0.2502,341.7
Field_01,1,0.61,0.3,10336.3,66.7,23.1,17.06,0.2443,324.9
Field_01,1,0.71,0.3,10586.8,66.2,19.5,15.9,0.2384,292.0
Field_01,1,0.81,0.3,10815.4,67.2,16.9,14.32,0.2316,251.6
Field_01,1,0.91,0.3,10988.1,68.2,15.4,12.99,0.2238,215.1
Field_01,1,1.01,0.3,11091.8,68.0,15.1,12.31,0.2158,190.9
Field_01,1,1.11,0.3,11133.3,66.4,16.5,12.41,0.2095,183.1
Field_01,1,1.21,0.3,11125.3,64.9,19.3,13.31,0.2064,194.0
Field_01,1,1.31,0.3,11075.5,65.5,23.3,15.0,0.2076,227.3
Field_01,1,1.41,0.3,10990.3,70.2,27.6,17.44,0.2133,288.4
Field_01,1,1.52,0.3,10886.0,79.3,31.5,20.48,0.2226,377.2
Field_01,1,1.62,0.3,10791.2,91.6,34.4,23.8,0.2335,474.6
Field_01,1,1.72,0.3,10731.3,104.4,36.6,26.74,0.2432,543.3
Field_01,1,1.82,0.3,10705.2,114.7,38.7,28.46,0.2489,554.8
Field_01,1,1.92,0.3,10676.3,120.1,41.5,28.38,0.2497,512.7
Field_01,1,2.02,0.3,10587.6,119.7,45.5,26.58,0.2471,439.1
Field_01,1,2.12,0.3,10390.8,113.8,50.9,23.8,0.2447,355.3
Field_01,1,2.22,0.3,10070.4,104.2,57.8,20.91,0.2457,277.8
Field_01,1,2.32,0.3,9646.7,92.9,65.6,18.48,0.2516,215.6
Field_01,1,2.42,0.3,9161.9,81.4,72.7,16.65,0.26,169.7
Field_01,1,2.53,0.3,8658.3,71.1,77.5,15.29,0.2663,137.2
Field_01,1,2.63,0.3,8163.8,62.9,77.9,14.19,0.2657,115.3
Field_01,1,2.73,0.3,7695.3,57.5,73.0,13.33,0.2557,102.8
Field_01,1,2.83,0.3,7276.8,54.2,63.5,12.84,0.2372,99.4
Field_01,1,2.93,0.3,6955.9,51.5,51.5,12.97,0.2137,102.7
Field_01,1,3.03,0.3,6795.6,47.1,40.0,13.89,0.1892,106.5
Field_01,1,3.13,0.3,6836.8,39.7,31.9,15.56,0.167,101.7
Field_01,1,3.23,0.3,7054.7,29.5,29.0,17.67,0.1491,83.0
Field_01,1,3.33,0.3,7350.1,18.6,31.6,19.73,0.1364,55.5
Field_01,1,3.43,0.3,7590.8,9.7,38.0,21.43,0.1291,31.0
Field_01,1,3.54,0.3,7681.7,5.1,45.7,22.71,0.1267,18.0
Field_01,1,3.64,0.3,7613.0,5.1,51.9,23.5,0.1279,21.2
Field_01,1,3.74,0.3,7453.7,8.8,54.6,23.44,0.1311,41.7
